"pre","result","stock.price","stock.time","stock.code","stock.name","stock.date","trade","strategy","strategy.b","strategy.s"
"1","0",16.7,"2016-12-15 15:15:00","600000.SH","浦发银行",2016-12-15,1,1,1,1
"1","0",16.66,"2016-12-16 15:15:00","600000.SH","浦发银行",2016-12-16,1,0,0,0
"1","0",16.52,"2016-12-19 15:15:00","600000.SH","浦发银行",2016-12-19,1,0,0,0
"1","1",16.28,"2016-12-20 15:15:00","600000.SH","浦发银行",2016-12-20,1,0,0,0
"1","0",16.32,"2016-12-21 15:15:00","600000.SH","浦发银行",2016-12-21,1,0,0,0
"1",NA,16.19,"2016-12-22 15:15:00","600000.SH","浦发银行",2016-12-22,1,0,0,0
"1","1",16.19,"2016-12-23 15:15:00","600000.SH","浦发银行",2016-12-23,1,0,0,0
"0","0",16.25,"2016-12-26 15:15:00","600000.SH","浦发银行",2016-12-26,-1,0,0,0
"0","0",16.14,"2016-12-27 15:15:00","600000.SH","浦发银行",2016-12-27,-1,0,0,0
"0",NA,16.09,"2016-12-28 15:15:00","600000.SH","浦发银行",2016-12-28,-1,0,0,0
"0","1",16.07,"2016-12-29 15:15:00","600000.SH","浦发银行",2016-12-29,-1,0,0,0
"0","1",16.21,"2016-12-30 15:15:00","600000.SH","浦发银行",2016-12-30,-1,0,0,0
"0",NA,16.3,"2017-01-03 15:15:00","600000.SH","浦发银行",2017-01-03,-1,0,0,0
"0",NA,16.33,"2017-01-04 15:15:00","600000.SH","浦发银行",2017-01-04,-1,0,0,0
"0","0",16.3,"2017-01-05 15:15:00","600000.SH","浦发银行",2017-01-05,-1,0,0,0
"0",NA,16.18,"2017-01-06 15:15:00","600000.SH","浦发银行",2017-01-06,-1,0,0,0
"0",NA,16.2,"2017-01-09 15:15:00","600000.SH","浦发银行",2017-01-09,-1,0,0,0
"0",NA,16.19,"2017-01-10 15:15:00","600000.SH","浦发银行",2017-01-10,-1,0,0,0
"0","0",16.16,"2017-01-11 15:15:00","600000.SH","浦发银行",2017-01-11,-1,0,0,0
"0","1",16.12,"2017-01-12 15:15:00","600000.SH","浦发银行",2017-01-12,-1,0,0,0
"0","1",16.27,"2017-01-13 15:15:00","600000.SH","浦发银行",2017-01-13,-1,0,0,0
"0","0",16.56,"2017-01-16 15:15:00","600000.SH","浦发银行",2017-01-16,-1,0,0,0
"0","1",16.4,"2017-01-17 15:15:00","600000.SH","浦发银行",2017-01-17,-1,0,0,0
"0","1",16.48,"2017-01-18 15:15:00","600000.SH","浦发银行",2017-01-18,-1,0,0,0
"0","1",16.54,"2017-01-19 15:15:00","600000.SH","浦发银行",2017-01-19,-1,0,0,0
"0",NA,16.6,"2017-01-20 15:15:00","600000.SH","浦发银行",2017-01-20,-1,0,0,0
"0","1",16.57,"2017-01-23 15:15:00","600000.SH","浦发银行",2017-01-23,-1,0,0,0
"0",NA,16.69,"2017-01-24 15:15:00","600000.SH","浦发银行",2017-01-24,-1,0,0,0
"0","1",16.69,"2017-01-25 15:15:00","600000.SH","浦发银行",2017-01-25,-1,0,0,0
"0","0",16.74,"2017-01-26 15:15:00","600000.SH","浦发银行",2017-01-26,-1,0,0,0
"0",NA,16.63,"2017-02-03 15:15:00","600000.SH","浦发银行",2017-02-03,-1,0,0,0
"0",NA,16.66,"2017-02-06 15:15:00","600000.SH","浦发银行",2017-02-06,-1,0,0,0
"0",NA,16.67,"2017-02-07 15:15:00","600000.SH","浦发银行",2017-02-07,-1,0,0,0
"0","1",16.67,"2017-02-08 15:15:00","600000.SH","浦发银行",2017-02-08,-1,0,0,0
"0","1",16.72,"2017-02-09 15:15:00","600000.SH","浦发银行",2017-02-09,-1,0,0,0
"0","1",16.78,"2017-02-10 15:15:00","600000.SH","浦发银行",2017-02-10,-1,-1,-1,-1
"0","0",16.85,"2017-02-13 15:15:00","600000.SH","浦发银行",2017-02-13,-1,0,0,0
"0","1",16.75,"2017-02-14 15:15:00","600000.SH","浦发银行",2017-02-14,-1,0,0,0
"0","0",16.84,"2017-02-15 15:15:00","600000.SH","浦发银行",2017-02-15,-1,0,0,0
