"stock.code","name","date","time","open","high","low","close","volumw","turover","match_items","interest"
"600000.SH","浦发银行",20111103,151500000,67361,67433,66212,66355,84349601,785658960,18090,0
"600000.SH","浦发银行",20111104,151500000,67145,67217,66284,66858,42565042,395922340,12168,0
"600000.SH","浦发银行",20111107,151500000,66427,66643,65781,65924,32870037,302777620,13180,0
"600000.SH","浦发银行",20111108,151500000,66355,66786,65637,66140,31693301,291603570,8197,0
"600000.SH","浦发银行",20111109,151500000,66355,66714,65924,66571,27951632,257975140,7577,0
"600000.SH","浦发银行",20111110,151500000,66068,66427,64919,64991,46636157,426657140,13096,0
"600000.SH","浦发银行",20111111,151500000,65063,65853,64991,65206,25261827,230005500,6877,0
"600000.SH","浦发银行",20111114,151500000,65924,66571,65565,66140,42296963,389371090,10716,0
"600000.SH","浦发银行",20111115,151500000,66068,66212,65565,65924,30013432,275179280,7279,0
"600000.SH","浦发银行",20111116,151500000,65924,65924,63698,64057,64028631,576115150,19020,0
"600000.SH","浦发银行",20111117,151500000,64201,64416,63483,63626,32007465,284590450,9773,0
"600000.SH","浦发银行",20111118,151500000,63196,63842,62908,63196,36819930,324198790,10646,0
"600000.SH","浦发银行",20111121,151500000,63483,63555,62262,62765,32355327,281903840,8723,0
"600000.SH","浦发银行",20111122,151500000,62477,63267,62334,62836,30669913,268099630,7817,0
"600000.SH","浦发银行",20111123,151500000,62908,62980,61903,62406,26370231,228822390,8883,0
"600000.SH","浦发银行",20111124,151500000,61903,62908,61759,62477,24460075,212634670,8005,0
"600000.SH","浦发银行",20111125,151500000,62477,62621,61759,61903,21366538,184856600,7202,0
"600000.SH","浦发银行",20111128,151500000,61975,62334,61544,61759,23967739,206431560,7589,0
"600000.SH","浦发银行",20111129,151500000,62190,62765,61903,62693,25960610,225388350,7258,0
"600000.SH","浦发银行",20111130,151500000,62406,62693,60826,61041,44971839,384658390,13423,0
"600000.SH","浦发银行",20111201,151500000,62765,64273,62693,63267,89049077,787219120,21976,0
"600000.SH","浦发银行",20111202,151500000,63052,63555,62549,63196,38638133,339557360,8888,0
"600000.SH","浦发银行",20111205,151500000,63483,63985,61975,63196,40188321,354439400,10204,0
"600000.SH","浦发银行",20111206,151500000,62908,63483,62477,62693,26440305,232129300,7065,0
"600000.SH","浦发银行",20111207,151500000,62765,63411,62477,63052,23350899,204935330,6112,0
"600000.SH","浦发银行",20111208,151500000,63052,63411,62334,63052,21909676,191759960,6598,0
"600000.SH","浦发银行",20111209,151500000,62693,63052,62046,62477,29514000,257109790,6425,0
"600000.SH","浦发银行",20111212,151500000,62334,62765,62046,62190,23035328,200109780,5336,0
"600000.SH","浦发银行",20111213,151500000,62046,62621,61472,61616,47600711,412160760,12403,0
"600000.SH","浦发银行",20111214,151500000,61544,62118,61328,61759,27334982,235202160,6419,0
"600000.SH","浦发银行",20111215,151500000,61472,61903,60897,60969,41518789,354799720,11873,0
"600000.SH","浦发银行",20111216,151500000,61113,62118,60969,61903,37730295,322463280,10351,0
"600000.SH","浦发银行",20111219,151500000,61544,62046,60108,61831,45264959,384672660,12764,0
"600000.SH","浦发银行",20111220,151500000,61616,62836,61472,61687,38376971,331731070,9513,0
"600000.SH","浦发银行",20111221,151500000,62190,62621,61041,61257,41637650,359681300,7717,0
"600000.SH","浦发银行",20111222,151500000,60969,61687,60682,61257,42682705,363453840,9553,0
"600000.SH","浦发银行",20111223,151500000,61328,61831,60969,61328,23263186,198890320,6636,0
"600000.SH","浦发银行",20111226,151500000,61185,61472,60467,60826,31788769,269877050,8228,0
"600000.SH","浦发银行",20111227,151500000,60826,61257,60323,60610,31075676,262876940,8404,0
"600000.SH","浦发银行",20111228,151500000,60538,60754,59246,60179,42011046,351109630,10482,0
"600000.SH","浦发银行",20111229,151500000,59964,60179,59533,59964,40055045,333839360,9316,0
"600000.SH","浦发银行",20111230,151500000,60251,61113,60179,60969,52982530,448339730,10329,0
"600000.SH","浦发银行",20120104,151500000,61328,61472,60251,60395,34201379,290229550,9356,0
"600000.SH","浦发银行",20120105,151500000,60826,63339,60826,62118,132116203,1144753020,28870,0
"600000.SH","浦发银行",20120106,151500000,61975,63052,61903,62549,61778687,537043760,15067,0
"600000.SH","浦发银行",20120109,151500000,62621,64560,62334,64273,80136249,711429610,22061,0
"600000.SH","浦发银行",20120110,151500000,64273,65350,63770,65134,72004632,647206630,22056,0
"600000.SH","浦发银行",20120111,151500000,64991,65350,64488,64632,49261157,444366550,14693,0
"600000.SH","浦发银行",20120112,151500000,64632,66140,64560,65278,60486981,551261470,15397,0
"600000.SH","浦发银行",20120113,151500000,65422,65924,64416,64919,56725332,514638090,15103,0
"600000.SH","浦发银行",20120116,151500000,64632,65494,64345,64416,33100160,299225050,9217,0
"600000.SH","浦发银行",20120117,151500000,64632,66499,63124,66068,97357263,876457390,22574,0
"600000.SH","浦发银行",20120118,151500000,65781,66284,64632,64919,58089289,529288100,14650,0
"600000.SH","浦发银行",20120119,151500000,64991,66212,64775,66068,68645571,628781810,15632,0
"600000.SH","浦发银行",20120120,151500000,66427,67720,65853,67648,95052703,883450350,23650,0
"600000.SH","浦发银行",20120130,151500000,67504,67576,66068,66212,71883155,668276690,15508,0
"600000.SH","浦发银行",20120131,151500000,66355,66643,65781,66212,35464104,326763250,8531,0
"600000.SH","浦发银行",20120201,151500000,66068,66499,64991,65206,39647888,362716570,10496,0
"600000.SH","浦发银行",20120202,151500000,65494,67648,65206,67504,87973331,816297530,21059,0
"600000.SH","浦发银行",20120203,151500000,67145,68222,66930,67792,97135312,914988440,18535,0
"600000.SH","浦发银行",20120206,151500000,67935,68294,66714,67433,63691281,599080980,14493,0
"600000.SH","浦发银行",20120207,151500000,66930,67217,65924,66355,51391402,475945760,13031,0
"600000.SH","浦发银行",20120208,151500000,66284,68079,66284,67863,64270717,602796520,15287,0
"600000.SH","浦发银行",20120209,151500000,67863,68079,67217,67504,50273854,473358220,11725,0
"600000.SH","浦发银行",20120210,151500000,67217,68079,66930,67289,51836488,487049470,11493,0
"600000.SH","浦发银行",20120213,151500000,66427,67289,65924,66571,49204966,456411660,12814,0
"600000.SH","浦发银行",20120214,151500000,66355,66643,65565,65996,53024869,487049230,15000,0
"600000.SH","浦发银行",20120215,151500000,65781,66714,65637,66284,55064760,507511350,11457,0
"600000.SH","浦发银行",20120216,151500000,66427,66643,65637,65996,47501799,437494060,12321,0
"600000.SH","浦发银行",20120217,151500000,66427,66858,66068,66499,41743292,386595850,10270,0
"600000.SH","浦发银行",20120220,151500000,67576,67576,66427,66499,57740009,539245880,13802,0
"600000.SH","浦发银行",20120221,151500000,66571,66858,66068,66643,42757386,395923920,9444,0
"600000.SH","浦发银行",20120222,151500000,66643,67217,66068,66930,81447790,755732380,17629,0
"600000.SH","浦发银行",20120223,151500000,66930,67504,66643,67002,87754888,818404840,21642,0
"600000.SH","浦发银行",20120224,151500000,67145,68438,66858,68294,128341832,1207795580,30137,0
"600000.SH","浦发银行",20120227,151500000,68725,69084,67863,68079,126664015,1206459790,30661,0
"600000.SH","浦发银行",20120228,151500000,68079,69659,67935,69371,136121116,1308533870,35877,0
"600000.SH","浦发银行",20120229,151500000,69443,69443,68294,68510,77757837,745267160,17854,0
"600000.SH","浦发银行",20120301,151500000,68222,68869,68151,68582,46237868,441399340,11093,0
"600000.SH","浦发银行",20120302,151500000,68582,69659,68510,69587,74013187,711842950,15851,0
"600000.SH","浦发银行",20120305,151500000,69946,70018,68797,68797,66098035,638459410,15498,0
"600000.SH","浦发银行",20120306,151500000,68438,69012,67576,67792,68450355,650629550,15621,0
"600000.SH","浦发银行",20120307,151500000,67433,67792,67002,67073,51077237,479615270,14446,0
"600000.SH","浦发银行",20120308,151500000,67433,68222,67289,67935,54828552,517039320,12689,0
"600000.SH","浦发银行",20120309,151500000,68007,68294,67648,68007,47510501,449318740,10447,0
"600000.SH","浦发银行",20120312,151500000,67792,67863,67002,67361,49477998,527843860,16112,0
"600000.SH","浦发银行",20120313,151500000,67433,68438,67145,68007,58202887,614301500,15959,0
"600000.SH","浦发银行",20120314,151500000,68438,69012,66930,67217,99280321,940852510,24425,0
"600000.SH","浦发银行",20120315,151500000,67217,67863,65781,65996,70673894,661561270,19017,0
